videoFile,cameraFile,caption,location,scene,crowdDensity,weather,timeOfDay
00900100003_0013650_0015450.mp4,00900100003_0013650_0015450.npz,"The video begins with the viewer moving forward along a narrow stone path winding through a dense forest in Yamadera, Yamagata Prefecture, Japan. The camera smoothly glides over the uneven terrain, capturing the tall, slender trees that line both sides of the path, their trunks varying in shades of brown and gray. As the movement continues, the camera pans slightly upward, revealing the cloudy sky above, which casts a soft, diffused light through the canopy, creating a serene and misty atmosphere. The path curves gently, leading the viewer past large moss-covered rocks and patches of undergrowth. The camera then shifts focus to an old wooden structure nestled among the trees, its traditional architecture blending seamlessly with the natural surroundings. The viewer approaches the building, passing by more trees and rocks, before the camera pans out to reveal a larger temple complex perched on a rocky outcrop. The temple's dark roof tiles contrast sharply with the lighter stone walls, and the intricate details of the wooden beams and railings are clearly visible. The camera continues to move forward, offering a panoramic view of the temple and the surrounding forest, emphasizing the peaceful solitude of this outdoor setting. Throughout the sequence, the environment remains empty, enhancing the sense of tranquility and isolation. The overall color palette is dominated by earthy tones, with the muted greens of the moss and foliage complementing the browns and grays of the trees and stones. The camera's steady, fluid motion provides a continuous and immersive perspective, allowing the viewer to fully appreciate the natural beauty and architectural elegance of Yamadera.","Yamadera, Yamagata Prefecture, Japan",outdoor-natural,empty,cloudy/foggy,day
00300200003_0011850_0013650.mp4,00300200003_0011850_0013650.npz,"The video begins with the viewer moving through a dense forest, the camera capturing the lush greenery and dappled sunlight filtering through the leaves. As the path unfolds, the camera pans forward, revealing a series of vibrant red torii gates that line a stone staircase leading uphill. The movement is smooth, with the camera steadily ascending the steps, each gate framing the next in a continuous tunnel-like sequence. The surrounding trees cast dynamic shadows across the red pillars, creating a striking contrast between the bright vermilion color and the dark forest backdrop. The camera angle shifts slightly to capture the intricate details of the torii gates, their weathered surfaces hinting at years of exposure to the elements. As the ascent continues, the camera briefly pans to the right, showcasing a panoramic view of a distant cityscape nestled among rolling hills under a clear blue sky. The descent back into the forest reveals more torii gates, their uniformity broken by occasional glimpses of natural foliage. The journey culminates with the camera emerging from the torii-lined path, transitioning back into the serene woodland, where the sunlight bathes the scene in a warm, golden hue. Throughout the video, the absence of people emphasizes the tranquil and untouched nature of this sacred site.","Fushimi Inari Taisha, Kyoto, Japan",outdoor-natural,empty,sunny,day
00200300001_0011850_0013650.mp4,00200300001_0011850_0013650.npz,"The video begins with a first-person perspective moving along a rugged path through a dense forest at night in Le Prarion, Chamonix-Mont-Blanc, France. The camera steadily advances forward, capturing the uneven terrain covered with rocks and patches of grass under dim, cloudy skies. As the viewer progresses, the surrounding trees loom large, their dark silhouettes creating a stark contrast against the faint light filtering through the fog. The camera angle remains low, emphasizing the ground and the immediate surroundings, while occasionally panning slightly to reveal more of the forest's depth. The path winds gently, leading deeper into the woods where the density of the trees increases, casting shadows that dance with the limited visibility. The atmosphere is quiet and isolated, with no signs of human presence, enhancing the sense of solitude. The muted colors of the night blend seamlessly with the natural environment, creating a serene yet mysterious ambiance as the journey continues through this untouched wilderness.","Le Prarion, Chamonix-Mont-Blanc, France",outdoor-natural,empty,cloudy/foggy,night
00100100001_0030530_0032330.mp4,00100100001_0030530_0032330.npz,"The vehicle smoothly navigates a winding road through a lush forested area under a clear blue sky. As it progresses, the camera captures the road curving gently to the left, bordered by dense greenery on both sides, with occasional patches of reddish-brown earth visible along the edges. The vehicle maintains a steady pace, following the road's natural contours, which gradually reveal more of the surrounding landscape. The camera angle remains fixed, providing a consistent forward-facing view that emphasizes the road's smooth asphalt surface marked with white dashed lines. The sunlight filters through the trees, casting dynamic shadows across the road and highlighting the vibrant greens of the foliage. As the journey continues, the road ascends slightly, offering glimpses of distant hills through breaks in the tree canopy. The environment remains serene and untouched, with no other vehicles or pedestrians in sight, enhancing the sense of solitude and tranquility. The overall scene is bathed in warm, natural light, creating a vivid contrast between the dark asphalt and the bright, sunlit surroundings.","Castle Rock Beach, Meelup, Australia",outdoor-natural,empty,sunny,day
00100100003_0025955_0027755.mp4,00100100003_0025955_0027755.npz,"The video begins with the viewer moving along a narrow dirt path through a dense forest, surrounded by lush greenery and towering trees that filter the bright sunlight. As the camera progresses forward, it captures the intricate details of the underbrush and scattered rocks, emphasizing the natural texture of the terrain. The path gradually opens up to reveal Castle Rock Beach, where the camera pans to showcase the expansive view of the ocean meeting the shore. The vibrant blue sky contrasts sharply with the deep green foliage and the sandy beach dotted with large reddish-brown rocks. The camera continues its smooth movement, gliding over the rocks and sand, highlighting the gentle waves lapping against the shore. The scene transitions back into the forest, with the camera tilting slightly upward to capture the canopy of leaves above, before returning to the beach, focusing on the interplay of light and shadow cast by the trees. Throughout the video, the consistent sunny weather enhances the vivid colors and creates a serene atmosphere, with no other individuals present, allowing the viewer to fully immerse in the tranquil beauty of this outdoor natural setting.","Castle Rock Beach, Meelup, Australia",outdoor-natural,empty,sunny,day
00500100003_0053250_0055050.mp4,00500100003_0053250_0055050.npz,"The video begins with the viewer moving forward along a rugged dirt path surrounded by dense forest, capturing the serene ambiance of Lago di Braies in South Tyrol, Italy. The camera smoothly transitions from a wide-angle view of the forested area to a closer perspective as it navigates over uneven terrain, highlighting the natural textures of rocks and soil. As the journey progresses, the path winds through tall evergreen trees, casting dappled shadows on the ground under a cloudy sky. The camera pans slightly to the right, revealing a fallen log partially obstructing the trail, which the viewer carefully steps over. Continuing onward, the path becomes steeper and more challenging, with the camera tilting upward to emphasize the incline. The surrounding foliage thickens, creating a canopy that filters the diffused daylight. Eventually, the viewer emerges onto a rocky outcrop overlooking a tranquil lake, its clear blue waters reflecting the muted light. The camera then pans across the scenic vista, showcasing the expansive forest and distant mountains, before settling on a small wooden bridge spanning a narrow stream at the edge of the lake. The entire sequence captures the peaceful solitude of this untouched natural setting, with no other individuals present, enhancing the sense of immersion in the wilderness.","Lago di Braies, Braies, South Tyrol, Italy",outdoor-natural,empty,cloudy/foggy,day
00500100003_0044250_0046050.mp4,00500100003_0044250_0046050.npz,"The video begins with the viewer moving forward along a rocky path surrounded by towering mountains and dense evergreen forests under a cloudy sky. The camera smoothly glides over the uneven terrain, capturing the intricate textures of the white and gray rocks scattered across the trail. As the journey progresses, the perspective shifts slightly to reveal a small stream flowing through the forest, its dark water contrasting sharply with the light-colored stones. The camera continues to pan, offering a broader view of the lush greenery and the rugged landscape. The movement is steady, maintaining a consistent pace as it navigates through the natural setting. The surrounding trees, with their vibrant green needles, stand tall against the backdrop of the misty mountains, creating a serene and untouched atmosphere. The lighting is soft and diffused, typical of an overcast day, which enhances the rich colors of the environment. The camera occasionally tilts upward, showcasing the towering peaks that loom in the distance, adding depth and scale to the scene. Throughout the video, there are no other people or animals in sight, emphasizing the solitude and tranquility of this remote location. The entire sequence is a continuous exploration of the natural beauty of Lago di Braies, capturing every detail with precision and clarity.","Lago di Braies, Braies, South Tyrol, Italy",outdoor-natural,empty,cloudy/foggy,day
00800100001_0028506_0030306.mp4,00800100001_0028506_0030306.npz,"The video begins with a first-person perspective moving steadily along a dimly lit road at night in East Maddon Park, London, under a heavy rain shower. The camera advances forward, capturing the wet pavement reflecting the soft glow of street lamps that line both sides of the road. As the viewer progresses, the camera pans slightly to the right, revealing a small park area with benches and trees shrouded in mist, their outlines barely discernible against the dark sky. The camera then returns to its forward trajectory, approaching an intersection marked by a zebra crossing and a traffic light, which stands unlit. The surrounding environment remains quiet and empty, with no pedestrians or vehicles in sight. The camera continues along the road, navigating gentle curves illuminated intermittently by the streetlights, casting long shadows on the wet surface. The ambient light fluctuates subtly as the camera moves, highlighting the raindrops falling steadily and creating a serene yet somber atmosphere. The scene maintains a consistent pace, with the camera angle remaining steady, offering a continuous view of the urban landscape enveloped in the stillness of a rainy night.","East Maddon Park, London, United Kingdom",outdoor-urban,empty,rainy,night
00800200003_0002850_0004650.mp4,00800200003_0002850_0004650.npz,"The video begins with a first-person perspective walking along a paved path in East Maddon Park, London, United Kingdom, under sunny daytime conditions. The camera moves steadily forward, capturing the smooth, even surface of the path flanked by lush greenery and mature trees that cast dappled shadows across the ground. As the walk progresses, the camera angle remains at eye level, providing a clear view of the surrounding environment. On the left side, dense bushes and smaller plants line the path, while on the right, occasional benches and lampposts appear, suggesting a well-maintained urban park setting. The sunlight filters through the leaves, creating a warm, golden hue that enhances the vibrant greens of the foliage. The path gently curves ahead, revealing more of the park's layout, including open grassy areas and additional pathways branching off into the distance. The scene remains empty, with no visible people or animals, emphasizing the serene and tranquil atmosphere of the park. The camera continues its steady advance, maintaining a consistent pace and direction, offering an immersive experience of a peaceful stroll through this picturesque outdoor space.","East Maddon Park, London, United Kingdom",outdoor-urban,empty,sunny,day
00100200003_0007782_0009582.mp4,00100200003_0007782_0009582.npz,"The video begins with a serene sunset at Castle Rock Beach, Meelup, Australia, where the sun dips low on the horizon, casting a warm orange glow across the sky and reflecting off the calm water. The camera slowly pans across the beach, capturing the gentle waves lapping against the shore and the scattered rocks that dot the landscape. As the scene transitions, the viewer is transported into a dense forest under a cloudy, foggy night sky. The camera moves steadily forward along a narrow dirt path, flanked by tall trees whose branches create a canopy overhead. The dim lighting casts deep shadows, enhancing the mysterious atmosphere of the forest. The camera angle remains at eye level, providing an immersive first-person perspective as it navigates through the winding trail. The path is uneven, with occasional rocks and patches of grass, and the camera subtly shifts to follow these natural contours. As the journey continues deeper into the woods, the surrounding foliage becomes denser, and the path narrows further, leading the viewer into the heart of this tranquil, untouched natural setting. The overall ambiance is one of quiet solitude, with no other presence or movement detected in the empty, outdoor environment.","Castle Rock Beach, Meelup, Australia",outdoor-natural,empty,cloudy/foggy,night
00100200003_0003374_0005174.mp4,00100200003_0003374_0005174.npz,"The video begins with the viewer moving forward along a sandy path bordered by lush greenery and scattered trees under a clear blue sky. As the camera advances, it captures the vibrant natural surroundings, with sunlight filtering through the leaves, casting dynamic shadows on the ground. The path leads towards Castle Rock Beach in Meelup, Australia, where the scene transitions from dense vegetation to an expansive view of the beach. The camera pans slightly to reveal white sand interspersed with patches of grass and large reddish-brown rocks near the shoreline. The ocean stretches out into the horizon, its deep blue waters contrasting sharply with the bright sky. The camera continues to move forward, offering a closer look at the rocky formations and the gentle waves lapping against the shore. As the viewer approaches the beach, the camera angle shifts to provide a broader perspective of the serene coastal landscape, emphasizing the untouched beauty of the area. The scene remains empty, with no signs of human presence, enhancing the sense of tranquility and isolation. The lighting remains consistent throughout, with the sun high in the sky, illuminating every detail of the natural environment. Finally, the camera moves deeper into the forested area, capturing the dense canopy of trees and the winding dirt path that cuts through the undergrowth, leading further into the wilderness. The entire sequence showcases the diverse and pristine nature of Castle Rock Beach, from its sandy shores to its lush forests.","Castle Rock Beach, Meelup, Australia",outdoor-natural,empty,sunny,day
00400100001_0033450_0035250.mp4,00400100001_0033450_0035250.npz,"The video begins with the viewer moving forward through a rugged, rocky terrain under a cloudy sky during sunset. The camera smoothly glides over uneven surfaces, capturing the intricate textures of dark volcanic rocks scattered across the landscape. As the movement progresses, the perspective shifts slightly upward, revealing distant mountains shrouded in mist, their silhouettes softened by the diffused light. The camera continues its steady advance, panning gently to the right, showcasing more of the expansive, desolate area. The warm hues of the setting sun cast an orange glow over the scene, contrasting sharply with the cool tones of the rocks and fog. The environment remains empty, with no signs of human presence, emphasizing the solitude and raw beauty of the natural setting. The camera maintains a consistent angle, focusing on the horizon where the mountains meet the sky, while subtle changes in elevation provide a dynamic view of the undulating terrain. The overall atmosphere is serene yet imposing, with the interplay of light and shadow adding depth and dimension to the visual experience.","Mýrdalssandur, Southern Region, Iceland",outdoor-natural,empty,cloudy/foggy,sunset
00900200002_0050217_0052017.mp4,00900200002_0050217_0052017.npz,"The first-person perspective begins with a steady forward movement along a narrow, stone-paved path winding through a misty forest in Yamadera, Yamagata Prefecture, Japan. The camera smoothly glides forward, capturing the damp, moss-covered stones underfoot and the dense fog that envelops the surrounding trees, creating a hazy, ethereal atmosphere. As the path curves gently to the right, the viewer's gaze follows the movement, revealing a steep, rocky hillside on one side and leafless trees shrouded in mist on the other. The muted daylight filters through the clouds, casting a soft, diffused light over the scene, enhancing the serene yet somber mood. The camera continues its steady advance, passing by traditional Japanese lanterns placed sporadically along the path, their weathered surfaces blending seamlessly with the natural surroundings. In the distance, the faint outline of a pagoda-like structure emerges from the fog, perched atop a rocky outcrop. The camera angle shifts slightly upward as the path inclines, offering a closer view of the ancient building, its layered roofs and intricate wooden details becoming more discernible. The journey progresses deeper into the forest, where the path narrows further, flanked by towering trees whose bare branches reach out into the fog. The camera maintains its forward momentum, capturing the tranquil solitude of this outdoor-natural setting, devoid of any human presence, as it navigates the winding trail through the misty woodland.","Yamadera, Yamagata Prefecture, Japan",outdoor-natural,empty,cloudy/foggy,day
00600200001_0033450_0035250.mp4,00600200001_0033450_0035250.npz,"The video begins with a sweeping view of the Mardi Himal Trail in Kaski, Nepal, as the camera moves forward along a snow-covered path. The camera pans upward, revealing a majestic mountain peak under a clear blue sky, its rugged surface partially covered with patches of snow. As the camera continues to advance, it captures the texture of the snow and the rocky terrain beneath, highlighting the contrast between the white snow and the dark rocks. The camera then shifts focus to a steep, rocky incline, showcasing the intricate details of the rock formations and the sparse vegetation clinging to the slopes. The camera angle changes slightly, providing a closer look at the rocky surface and the small patches of snow nestled in the crevices. The sunlight casts sharp shadows, emphasizing the contours of the landscape. As the camera moves further, it reveals a metal railing running alongside the trail, offering a sense of scale and perspective. The surrounding mountains, with their jagged peaks and snow-capped summits, dominate the background, creating a breathtaking panorama. The entire scene is bathed in bright, natural daylight, enhancing the vivid colors and textures of the natural environment. The camera's smooth and steady movement provides a continuous and immersive experience of the trail, capturing the serene and untouched beauty of the Mardi Himal region.","Mardi Himal Trail, Kaski, Nepal",outdoor-natural,empty,sunny,day
00400100001_0051450_0053250.mp4,00400100001_0051450_0053250.npz,"The video begins with the camera moving steadily forward along a rocky shoreline at Mýrdalssandur in the Southern Region of Iceland during sunset. The camera pans slowly from left to right, capturing the rugged terrain covered in dark, jagged rocks that stretch towards the water's edge. As the camera continues its movement, the viewer is presented with a vast expanse of water reflecting the warm hues of the setting sun, which casts an orange glow across the sky. The distant mountains, shrouded in a layer of clouds and fog, create a dramatic backdrop, their silhouettes gradually becoming more defined as the camera moves. The camera angle shifts slightly upward, offering a broader view of the sky, where thick clouds drift lazily, diffusing the sunlight and adding depth to the scene. The lighting transitions subtly, with the golden tones of the sunset deepening as the camera captures the interplay between light and shadow on the landscape. The environment remains empty, devoid of any human presence, emphasizing the serene and untouched nature of the location. The camera's smooth, continuous motion enhances the immersive experience, allowing viewers to fully absorb the tranquil beauty of this remote Icelandic setting.","Mýrdalssandur, Southern Region, Iceland",outdoor-natural,empty,cloudy/foggy,sunset
00100300001_0048777_0050577.mp4,00100300001_0048777_0050577.npz,"The video begins with a slow, steady forward movement through a dense forest at night, capturing the eerie stillness of Castle Rock Beach in Meelup, Australia. The camera pans slightly from side to side, revealing the silhouettes of tall trees and underbrush against a dimly lit sky, where faint clouds obscure the moonlight. As the viewer progresses, the camera angle remains low, emphasizing the rough terrain and scattered foliage beneath. The muted colors of the environment are dominated by dark shades of green and brown, punctuated occasionally by the soft glow of ambient light filtering through the canopy. The path ahead is barely discernible, winding through the natural landscape with no signs of human presence. The atmosphere is quiet and isolated, with the only sounds being the rustling of leaves and distant nocturnal wildlife. The camera continues its steady advance, maintaining a consistent pace that enhances the sense of exploration and solitude within this empty, outdoor-natural setting.","Castle Rock Beach, Meelup, Australia",outdoor-natural,empty,cloudy/foggy,night
00500100003_0026250_0028050.mp4,00500100003_0026250_0028050.npz,"The video begins with a first-person perspective walking along a snow-covered path in Lago di Braies, Braies, South Tyrol, Italy, during a snowy day. The camera moves steadily forward, capturing the crunching sound of snow underfoot as it navigates through a dense forest of tall evergreen trees. The path is partially cleared, revealing patches of dark soil and scattered rocks beneath the white blanket of snow. As the walk continues, the camera angle shifts slightly to reveal a serene lake on the right, its surface calm and reflecting the surrounding trees. The viewer then approaches a wooden signpost, which stands at the edge of the lake, before turning left onto a gravel path that leads towards a small wooden bridge spanning a clear, flowing river. The camera smoothly transitions across the bridge, offering a view of the rushing water below and the lush greenery on the opposite bank. After crossing the bridge, the path winds deeper into the forest, where the sunlight filters through the dense canopy, casting dappled shadows on the ground. The scene remains tranquil and empty, with no other people in sight, emphasizing the peaceful solitude of this natural setting. The camera continues its steady advance, capturing the intricate details of the forest floor, from fallen leaves to the occasional moss-covered rock, all bathed in the soft, diffused light of a winter day.","Lago di Braies, Braies, South Tyrol, Italy",outdoor-natural,empty,snowy,day
00500100003_0013650_0015450.mp4,00500100003_0013650_0015450.npz,"The video begins with the viewer moving forward along a narrow, rocky path surrounded by lush greenery. The camera steadily advances, capturing the intricate details of the trail as it winds through dense bushes and small trees. As the journey continues, the path opens up to reveal a breathtaking view of towering mountains in the distance, their peaks partially shrouded in mist under a bright, sunny sky. The camera pans slightly to the right, showcasing the expansive forest with tall pine trees casting long shadows on the ground. The sunlight filters through the foliage, creating a dappled effect on the path. The viewer then approaches a serene lake, its calm waters reflecting the surrounding landscape. The camera angle shifts to provide a closer look at the tranquil water, bordered by more trees and rocks. The scene remains empty, with no signs of human presence, emphasizing the natural beauty and tranquility of Lago di Braies in Braies, South Tyrol, Italy. The entire sequence maintains a steady pace, allowing the viewer to fully absorb the vivid colors and textures of this picturesque outdoor setting.","Lago di Braies, Braies, South Tyrol, Italy",outdoor-natural,empty,sunny,day
00500200001_0024450_0026250.mp4,00500200001_0024450_0026250.npz,"The first-person perspective begins with a steady forward movement along a snow-covered path winding through a dense forest of tall evergreen trees. The camera smoothly glides over the uneven terrain, capturing the intricate details of the snowy ground interspersed with patches of exposed earth and scattered rocks. As the viewer progresses, the surrounding trees create a natural canopy, their branches heavy with snow, casting soft shadows on the path. The camera angle remains at eye level, providing an immersive experience of navigating through this serene winter landscape. The environment is quiet and untouched, with no signs of human presence, enhancing the sense of solitude. The light is diffused, likely due to an overcast sky, giving the scene a muted palette dominated by whites and grays. The path gradually ascends, leading to a rocky outcrop where the camera pans slightly to reveal a broader view of the snow-laden forest stretching into the distance. The transition from the forested area to the open rocky terrain is marked by a change in texture underfoot, from soft snow to rugged stones. The camera continues its steady advance, maintaining a consistent pace and direction, until it reaches a small wooden bridge spanning a narrow stream, completing the journey through this tranquil, wintry setting.","Lago di Braies, Braies, South Tyrol, Italy",outdoor-natural,empty,snowy,day
